sensorID,co2,date time,rate_of_change
lw-ms-ambi-01,302.0,2025-01-21 00:04:40,
lw-ms-ambi-01,299.0,2025-01-21 00:14:42,-157105.50444661485
lw-ms-ambi-01,296.0,2025-01-21 00:24:39,-158394.1612585159
lw-ms-ambi-01,310.0,2025-01-21 00:34:41,733452.6592685038
lw-ms-ambi-01,295.0,2025-01-21 00:44:39,-791249.3892757044
lw-ms-ambi-01,302.0,2025-01-21 00:54:40,367202.7557093693
lw-ms-ambi-01,304.0,2025-01-21 01:04:41,105071.585465088
lw-ms-ambi-01,307.0,2025-01-21 01:14:40,157816.10639674714
lw-ms-ambi-01,297.0,2025-01-21 01:24:38,-527366.2691718108
lw-ms-ambi-01,297.0,2025-01-21 01:44:38,0.0
lw-ms-ambi-01,293.0,2025-01-21 01:54:41,-208991.71581882244
lw-ms-ambi-01,302.0,2025-01-21 02:04:40,474088.8900633391
lw-ms-ambi-01,302.0,2025-01-21 02:14:38,0.0
lw-ms-ambi-01,298.0,2025-01-21 02:24:41,-209382.01705356973
lw-ms-ambi-01,301.0,2025-01-21 02:34:41,157674.57757127736
lw-ms-ambi-01,298.0,2025-01-21 02:44:41,-157588.7613601312
lw-ms-ambi-01,300.0,2025-01-21 02:54:39,105567.03858019832
lw-ms-ambi-01,301.0,2025-01-21 03:04:40,52478.88705779686
lw-ms-ambi-01,295.0,2025-01-21 03:14:41,-314630.6002695444
lw-ms-ambi-01,293.0,2025-01-21 03:24:38,-105629.65604845673
lw-ms-ambi-01,297.0,2025-01-21 03:34:40,209491.14770613099
lw-ms-ambi-01,295.0,2025-01-21 03:44:39,-105319.26299238895
lw-ms-ambi-01,299.0,2025-01-21 03:54:41,209469.64465954993
lw-ms-ambi-01,305.0,2025-01-21 04:04:41,315406.29481027514
lw-ms-ambi-01,285.0,2025-01-21 04:14:38,-1056584.4990068204
lw-ms-ambi-01,297.0,2025-01-21 04:24:40,629327.2882223758
lw-ms-ambi-01,285.0,2025-01-21 04:34:39,-631446.3748656311
lw-ms-ambi-01,294.0,2025-01-21 04:44:40,472419.0673378282
