Sensor,Distance,AmbientTemp,MeasuredTemp,MeanTemp,StdDev,Difference,Status
MLX-P,2.17,16.0,36.4,26.157700000000002,2.06460472948,10.242299999999997,Out of Range
MLX-P,4.1,16.2,36.7,22.97585,0.8391356501899999,13.724150000000002,Out of Range
MLX-P,1.6,16.1,36.6,27.83225,1.5505016381099996,8.767750000000003,Out of Range
MLX-P,3.4,16.3,36.6,23.88015,1.07665915733,12.719850000000001,Out of Range
MLX-P,4.06,16.5,36.5,23.013175,0.9422842261750002,13.486825,Out of Range
MLX-P,1.69,16.4,37.2,27.535250000000005,1.5703107820560005,9.664749999999998,Out of Range
MLX-P,2.75,16.6,37.0,24.97,1.3282713052999995,12.030000000000001,Out of Range
MLX-P,4.2,16.8,36.8,22.8228,0.9856448749200002,13.977199999999996,Out of Range
MLX-P,1.86,16.7,37.5,26.943875,1.6388816068720005,10.556125000000002,Out of Range
MLX-P,4.12,16.9,37.3,22.92129,1.0407717073759997,14.378709999999998,Out of Range
MLX-P,4.45,17.0,36.8,22.482125000000003,0.975225921825,14.317874999999994,Out of Range
MLX-P,1.9,17.3,36.8,26.762375,1.3493291890199997,10.037624999999998,Out of Range
MLX-P,2.78,17.1,37.1,24.98361,1.1882284651939998,12.116390000000003,Out of Range
MLX-P,2.76,17.2,36.7,25.034439999999996,1.1725168829760002,11.665560000000006,Out of Range
MLX-P,2.17,16.0,36.4,26.157700000000002,2.06460472948,10.242299999999997,Out of Range
MLX-P,4.1,16.2,36.7,22.97585,0.8391356501899999,13.724150000000002,Out of Range
MLX-P,1.6,16.1,36.6,27.83225,1.5505016381099996,8.767750000000003,Out of Range
MLX-P,3.4,16.3,36.6,23.88015,1.07665915733,12.719850000000001,Out of Range
MLX-P,4.06,16.5,36.5,23.013175,0.9422842261750002,13.486825,Out of Range
MLX-P,1.69,16.4,37.2,27.535250000000005,1.5703107820560005,9.664749999999998,Out of Range
MLX-P,2.75,16.6,37.0,24.97,1.3282713052999995,12.030000000000001,Out of Range
MLX-P,4.2,16.8,36.8,22.8228,0.9856448749200002,13.977199999999996,Out of Range
MLX-P,1.86,16.7,37.5,26.943875,1.6388816068720005,10.556125000000002,Out of Range
MLX-P,4.12,16.9,37.3,22.92129,1.0407717073759997,14.378709999999998,Out of Range
MLX-P,4.45,17.0,36.8,22.482125000000003,0.975225921825,14.317874999999994,Out of Range
MLX-P,1.9,17.3,36.8,26.762375,1.3493291890199997,10.037624999999998,Out of Range
MLX-P,2.78,17.1,37.1,24.98361,1.1882284651939998,12.116390000000003,Out of Range
MLX-P,2.76,17.2,36.7,25.034439999999996,1.1725168829760002,11.665560000000006,Out of Range
