sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-01,2025-05-09T00:04:49.037875Z,66,526,54.5,17.6
lw-ms-ambi-02,2025-05-09T00:08:44.825687Z,64,793,43,24.9
lw-ms-ambi-01,2025-05-09T00:14:41.867535Z,66,535,54.5,17.6
lw-ms-ambi-02,2025-05-09T00:18:38.683975Z,64,803,43,24.9
lw-ms-ambi-03,2025-05-09T00:18:42.098454Z,70,423,54,17.8
lw-ms-ambi-01,2025-05-09T00:24:40.721763Z,66,525,54.5,17.5
lw-ms-ambi-02,2025-05-09T00:28:41.031737Z,64,793,43,24.8
lw-ms-ambi-03,2025-05-09T00:28:46.755332Z,70,415,54,17.8
lw-ms-ambi-01,2025-05-09T00:34:44.868799Z,66,508,54.5,17.5
lw-ms-ambi-02,2025-05-09T00:38:41.221044Z,64,779,43,24.8
lw-ms-ambi-03,2025-05-09T00:38:45.779659Z,70,421,53.5,17.7
lw-ms-ambi-01,2025-05-09T00:44:46.053547Z,66,518,54.5,17.5
lw-ms-ambi-03,2025-05-09T00:48:41.599290Z,70,425,54,17.7
lw-ms-ambi-02,2025-05-09T00:48:45.621582Z,64,769,43,24.7
lw-ms-ambi-01,2025-05-09T00:54:42.543753Z,66,501,54.5,17.4
lw-ms-ambi-03,2025-05-09T00:58:43.024422Z,70,417,54,17.7
lw-ms-ambi-02,2025-05-09T00:58:48.550902Z,64,771,43,24.7
lw-ms-ambi-01,2025-05-09T01:04:43.418273Z,66,503,54,17.4
lw-ms-ambi-02,2025-05-09T01:08:42.153652Z,64,780,43,24.7
lw-ms-ambi-03,2025-05-09T01:08:45.062834Z,70,415,54,17.7
lw-ms-ambi-01,2025-05-09T01:14:44.944273Z,66,508,54.5,17.3
lw-ms-ambi-02,2025-05-09T01:18:40.520058Z,64,774,43,24.6
lw-ms-ambi-02,2025-05-09T01:28:41.679365Z,64,776,43,24.6
lw-ms-ambi-03,2025-05-09T01:28:41.875853Z,70,401,54,17.6
lw-ms-ambi-01,2025-05-09T01:34:44.186273Z,66,483,54.5,17.3
lw-ms-ambi-02,2025-05-09T01:38:40.103249Z,64,778,43,24.5
lw-ms-ambi-03,2025-05-09T01:38:42.183020Z,70,420,54,17.6
lw-ms-ambi-01,2025-05-09T01:44:43.420892Z,66,470,54.5,17.2
lw-ms-ambi-02,2025-05-09T01:48:39.447762Z,64,784,43,24.5
lw-ms-ambi-03,2025-05-09T01:48:44.789712Z,70,406,54,17.5
lw-ms-ambi-01,2025-05-09T01:54:43.977190Z,66,463,54.5,17.2
lw-ms-ambi-02,2025-05-09T01:58:43.358814Z,64,773,43,24.5
lw-ms-ambi-03,2025-05-09T01:58:43.955858Z,70,395,54,17.5
lw-ms-ambi-01,2025-05-09T02:04:41.113091Z,66,472,55,17.2
lw-ms-ambi-03,2025-05-09T02:08:41.150131Z,70,401,54,17.4
lw-ms-ambi-02,2025-05-09T02:08:42.467443Z,64,754,43,24.4
lw-ms-ambi-01,2025-05-09T02:14:45.188654Z,66,476,54.5,17.2
lw-ms-ambi-02,2025-05-09T02:18:41.761600Z,64,763,43,24.4
lw-ms-ambi-03,2025-05-09T02:18:42.265560Z,70,420,54,17.4
lw-ms-ambi-01,2025-05-09T02:24:42.441643Z,66,451,54.5,17.2
lw-ms-ambi-02,2025-05-09T02:28:40.050508Z,64,750,43,24.3
lw-ms-ambi-03,2025-05-09T02:28:44.807187Z,70,409,54,17.4
lw-ms-ambi-01,2025-05-09T02:34:40.395479Z,66,453,54.5,17.1
lw-ms-ambi-02,2025-05-09T02:38:41.358254Z,64,763,43,24.3
lw-ms-ambi-03,2025-05-09T02:38:43.683931Z,70,403,54,17.4
lw-ms-ambi-01,2025-05-09T02:44:41.047025Z,66,449,54.5,17.1
lw-ms-ambi-02,2025-05-09T02:48:39.313570Z,64,761,43,24.3
lw-ms-ambi-03,2025-05-09T02:48:42.558604Z,70,400,54,17.4
lw-ms-ambi-01,2025-05-09T02:54:44.178011Z,66,442,54.5,17.1
lw-ms-ambi-02,2025-05-09T02:58:44.897279Z,64,756,43,24.2
lw-ms-ambi-03,2025-05-09T02:58:45.022750Z,70,406,54,17.3
lw-ms-ambi-01,2025-05-09T03:04:43.151957Z,66,432,54.5,17
lw-ms-ambi-02,2025-05-09T03:08:38.900582Z,64,760,43,24.2
lw-ms-ambi-03,2025-05-09T03:08:43.522835Z,70,396,54,17.3
lw-ms-ambi-01,2025-05-09T03:14:41.781586Z,66,437,55,17
lw-ms-ambi-02,2025-05-09T03:18:40.478483Z,64,752,43,24.1
lw-ms-ambi-03,2025-05-09T03:18:45.308959Z,70,414,54,17.3
lw-ms-ambi-01,2025-05-09T03:24:42.916011Z,66,438,55,17
lw-ms-ambi-02,2025-05-09T03:28:40.188770Z,64,718,43,24.1
lw-ms-ambi-03,2025-05-09T03:28:42.092119Z,70,400,54,17.2
lw-ms-ambi-01,2025-05-09T03:34:42.011186Z,66,419,54.5,17
lw-ms-ambi-02,2025-05-09T03:38:40.883199Z,64,727,43,24
lw-ms-ambi-03,2025-05-09T03:38:45.294948Z,70,409,54,17.2
lw-ms-ambi-01,2025-05-09T03:44:43.238120Z,66,428,55,17
lw-ms-ambi-02,2025-05-09T03:48:40.268894Z,64,732,43,24
lw-ms-ambi-03,2025-05-09T03:48:44.960766Z,70,407,54,17.2
lw-ms-ambi-01,2025-05-09T03:54:44.313544Z,66,412,54.5,17
lw-ms-ambi-02,2025-05-09T03:58:41.084382Z,64,739,43,24
lw-ms-ambi-03,2025-05-09T03:58:43.017598Z,70,401,54,17.1
lw-ms-ambi-01,2025-05-09T04:04:44.899623Z,66,418,54.5,17
lw-ms-ambi-02,2025-05-09T04:08:42.026004Z,64,728,43,23.9
