sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-02,2025-04-25T04:28:43.986879Z,65,633,48.5,20.1
lw-ms-ambi-01,2025-04-25T04:34:41.467480Z,67,318,56.5,16.9
lw-ms-ambi-03,2025-04-25T04:38:40.429412Z,71,394,56,17.4
lw-ms-ambi-02,2025-04-25T04:38:43.985831Z,65,633,48.5,20
lw-ms-ambi-01,2025-04-25T04:44:38.890436Z,67,318,56.5,17
lw-ms-ambi-03,2025-04-25T04:48:44.192863Z,71,404,56,17.4
lw-ms-ambi-02,2025-04-25T04:48:45.255863Z,65,646,48.5,20
lw-ms-ambi-01,2025-04-25T04:54:40.532265Z,67,320,56.5,16.9
lw-ms-ambi-02,2025-04-25T04:58:44.953016Z,65,630,48.5,20
lw-ms-ambi-01,2025-04-25T05:04:44.048619Z,67,310,56.5,16.9
lw-ms-ambi-03,2025-04-25T05:08:43.458257Z,71,404,55.5,17.4
lw-ms-ambi-02,2025-04-25T05:08:44.039809Z,65,631,48.5,20
lw-ms-ambi-01,2025-04-25T05:14:39.678668Z,67,308,56.5,16.9
lw-ms-ambi-03,2025-04-25T05:18:41.777774Z,71,391,55.5,17.4
lw-ms-ambi-02,2025-04-25T05:18:43.089926Z,65,638,48.5,20
lw-ms-ambi-01,2025-04-25T05:24:43.779633Z,67,318,56.5,16.9
lw-ms-ambi-03,2025-04-25T05:28:42.204186Z,71,397,56,17.4
lw-ms-ambi-01,2025-04-25T05:34:43.183297Z,67,316,56,16.9
lw-ms-ambi-03,2025-04-25T05:38:43.399553Z,71,396,56,17.4
lw-ms-ambi-02,2025-04-25T05:38:46.948271Z,65,636,48.5,19.9
lw-ms-ambi-01,2025-04-25T05:44:42.423397Z,67,311,56,16.9
lw-ms-ambi-03,2025-04-25T05:48:40.857075Z,71,399,56,17.4
lw-ms-ambi-02,2025-04-25T05:48:46.852927Z,65,635,48.5,20
lw-ms-ambi-01,2025-04-25T05:54:43.383310Z,67,317,56,16.9
lw-ms-ambi-03,2025-04-25T05:58:44.529389Z,71,392,56,17.4
lw-ms-ambi-01,2025-04-25T06:04:40.022667Z,67,310,56.5,16.9
