sensorID,co2,date time,rate_of_change
lw-ms-ambi-03,398.0,2025-04-25 09:38:40,158560.06172445818
lw-ms-ambi-03,398.0,2025-04-25 09:48:40,0.0
lw-ms-ambi-03,403.0,2025-04-25 09:58:42,261806.25979796602
lw-ms-ambi-03,387.0,2025-04-25 10:08:44,-838210.4476060834
lw-ms-ambi-03,390.0,2025-04-25 10:18:45,157570.19458373438
lw-ms-ambi-03,398.0,2025-04-25 10:28:45,420498.34003510064
lw-ms-ambi-03,393.0,2025-04-25 10:38:42,-263713.82774876064
lw-ms-ambi-03,396.0,2025-04-25 10:48:44,157335.0010541884
lw-ms-ambi-03,383.0,2025-04-25 10:58:44,-683008.0364450081
lw-ms-ambi-03,391.0,2025-04-25 11:18:45,210142.3305729521
lw-ms-ambi-03,402.0,2025-04-25 11:28:44,578676.9996761273
lw-ms-ambi-03,397.0,2025-04-25 11:38:44,-263001.2718049641
lw-ms-ambi-03,400.0,2025-04-25 11:48:41,158433.82603180833
lw-ms-ambi-03,391.0,2025-04-25 11:58:44,-470140.92612740083
lw-ms-ambi-03,407.0,2025-04-25 12:08:41,846157.5197445056
lw-ms-ambi-03,399.0,2025-04-25 12:18:42,-419750.1559184787
lw-ms-ambi-03,394.0,2025-04-25 12:28:43,-262111.03764274222
lw-ms-ambi-03,403.0,2025-04-25 12:38:39,476196.89253642753
lw-ms-ambi-03,406.0,2025-04-25 12:48:44,156562.4284218754
lw-ms-ambi-03,407.0,2025-04-25 12:58:42,52686.83310113575
lw-ms-ambi-03,404.0,2025-04-25 13:08:41,-157917.2203532656
lw-ms-ambi-03,396.0,2025-04-25 13:18:41,-421003.374555112
lw-ms-ambi-03,398.0,2025-04-25 13:38:41,52561.50632516877
lw-ms-ambi-03,399.0,2025-04-25 13:48:43,52304.728515968774
lw-ms-ambi-03,404.0,2025-04-25 13:58:40,264408.05664763524
lw-ms-ambi-03,400.0,2025-04-25 14:08:43,-209051.7030830428
lw-ms-ambi-03,403.0,2025-04-25 14:18:42,157931.1597659059
lw-ms-ambi-03,406.0,2025-04-25 14:28:43,157388.46933824476
lw-ms-ambi-03,398.0,2025-04-25 14:38:43,-420989.76106538286
lw-ms-ambi-03,402.0,2025-04-25 14:48:41,210968.97939849383
lw-ms-ambi-03,409.0,2025-04-25 14:58:43,366714.8180317672
lw-ms-ambi-03,410.0,2025-04-25 15:08:42,52575.467527294975
lw-ms-ambi-03,414.0,2025-04-25 15:18:42,210205.4979205988
lw-ms-ambi-03,400.0,2025-04-25 15:28:42,-736929.8738393995
lw-ms-ambi-03,405.0,2025-04-25 15:38:42,262702.80127704155
lw-ms-ambi-03,407.0,2025-04-25 15:58:43,52499.34881479799
lw-ms-ambi-03,410.0,2025-04-25 16:08:42,158085.9969844087
lw-ms-ambi-03,406.0,2025-04-25 16:18:41,-210532.84416847688
lw-ms-ambi-03,414.0,2025-04-25 16:28:41,420421.7996088741
lw-ms-ambi-03,413.0,2025-04-25 16:38:40,-52621.90774499204
lw-ms-ambi-03,404.0,2025-04-25 16:48:43,-470531.93772828503
lw-ms-ambi-03,410.0,2025-04-25 16:58:39,317728.4943520073
lw-ms-ambi-03,402.0,2025-04-25 17:08:43,-417450.3941182251
lw-ms-ambi-03,416.0,2025-04-25 17:18:40,739620.3140663417
lw-ms-ambi-03,403.0,2025-04-25 17:28:40,-683230.4600980558
lw-ms-ambi-03,393.0,2025-04-25 17:38:40,-525812.1932632987
lw-ms-ambi-03,398.0,2025-04-25 17:48:40,262942.35129190516
