sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-02,2025-01-21T04:36:46.804225Z,74,588,54,18.3
lw-ms-ambi-03,2025-01-21T04:38:43.117269Z,77,368,56,15.9
lw-ms-ambi-01,2025-01-21T04:44:40.188486Z,73,294,54.5,17.4
lw-ms-ambi-03,2025-01-21T04:48:40.606665Z,77,352,56.5,15.9
lw-ms-ambi-01,2025-01-21T04:54:40.597146Z,73,297,54.5,17.4
lw-ms-ambi-02,2025-01-21T04:56:46.484884Z,74,576,54,18.2
lw-ms-ambi-03,2025-01-21T04:58:41.407189Z,77,360,56.5,15.8
lw-ms-ambi-02,2025-01-21T05:06:47.575720Z,74,595,54,18.3
lw-ms-ambi-03,2025-01-21T05:08:39.801735Z,77,365,56.5,15.8
lw-ms-ambi-01,2025-01-21T05:14:40.325459Z,73,287,54.5,17.3
lw-ms-ambi-02,2025-01-21T05:16:47.456248Z,74,578,54,18.3
lw-ms-ambi-03,2025-01-21T05:18:40.732932Z,77,367,56.5,15.8
lw-ms-ambi-01,2025-01-21T05:24:42.437974Z,73,292,54.5,17.3
lw-ms-ambi-02,2025-01-21T05:26:45.048905Z,74,571,54,18.3
lw-ms-ambi-03,2025-01-21T05:28:42.595498Z,77,355,56.5,15.8
lw-ms-ambi-01,2025-01-21T05:34:40.494759Z,73,291,54.5,17.3
lw-ms-ambi-02,2025-01-21T05:36:45.022500Z,74,553,54,18.3
lw-ms-ambi-03,2025-01-21T05:38:39.956620Z,77,355,56.5,15.8
lw-ms-ambi-01,2025-01-21T05:44:41.004207Z,73,302,54.5,17.2
lw-ms-ambi-02,2025-01-21T05:46:43.517736Z,74,551,54,18.3
lw-ms-ambi-03,2025-01-21T05:48:41.653108Z,77,362,56.5,15.8
lw-ms-ambi-01,2025-01-21T05:54:41.705020Z,73,281,55,17.2
lw-ms-ambi-02,2025-01-21T05:56:42.951952Z,74,553,54,18.3
lw-ms-ambi-03,2025-01-21T05:58:41.897158Z,77,355,56.5,15.8
lw-ms-ambi-01,2025-01-21T06:04:40.586275Z,73,295,55,17.2
lw-ms-ambi-02,2025-01-21T06:06:45.118637Z,74,562,54,18.3
lw-ms-ambi-03,2025-01-21T06:08:39.769099Z,77,374,56.5,15.8
lw-ms-ambi-01,2025-01-21T06:14:39.300760Z,73,294,54.5,17.2
lw-ms-ambi-02,2025-01-21T06:16:43.324566Z,74,540,54,18.3
lw-ms-ambi-03,2025-01-21T06:18:43.585231Z,77,358,56.5,15.8
lw-ms-ambi-01,2025-01-21T06:24:39.444917Z,73,293,54.5,17.2
lw-ms-ambi-02,2025-01-21T06:26:47.146095Z,74,543,54,18.3
lw-ms-ambi-03,2025-01-21T06:28:43.014563Z,77,366,56.5,15.7
lw-ms-ambi-01,2025-01-21T06:34:41.221453Z,73,295,55,17.2
lw-ms-ambi-02,2025-01-21T06:36:47.159329Z,74,539,54,18.3
lw-ms-ambi-03,2025-01-21T06:38:39.979969Z,77,356,57,15.7
lw-ms-ambi-01,2025-01-21T06:44:42.249954Z,73,302,55,17.2
lw-ms-ambi-03,2025-01-21T06:48:44.089051Z,77,354,56.5,15.7
lw-ms-ambi-01,2025-01-21T06:54:39.823055Z,73,293,55,17.2
lw-ms-ambi-02,2025-01-21T06:56:44.428967Z,74,525,54,18.3
