sensorID,co2,rate_of_change
lw-ms-ambi-02,534.0,-6.0
lw-ms-ambi-02,540.0,6.0
lw-ms-ambi-02,543.0,3.0
lw-ms-ambi-02,530.0,-13.0
lw-ms-ambi-02,543.0,13.0
lw-ms-ambi-02,526.0,-17.0
lw-ms-ambi-02,524.0,-2.0
lw-ms-ambi-02,527.0,3.0
lw-ms-ambi-02,521.0,-6.0
lw-ms-ambi-02,523.0,2.0
lw-ms-ambi-02,511.0,-12.0
lw-ms-ambi-02,513.0,2.0
lw-ms-ambi-02,512.0,-1.0
lw-ms-ambi-02,513.0,1.0
lw-ms-ambi-02,506.0,-7.0
lw-ms-ambi-02,501.0,-5.0
lw-ms-ambi-02,502.0,1.0
lw-ms-ambi-02,500.0,-2.0
lw-ms-ambi-02,482.0,-18.0
lw-ms-ambi-02,495.0,13.0
lw-ms-ambi-02,480.0,-15.0
lw-ms-ambi-02,496.0,16.0
lw-ms-ambi-02,479.0,-17.0
lw-ms-ambi-02,481.0,2.0
lw-ms-ambi-02,479.0,-2.0
lw-ms-ambi-02,484.0,5.0
lw-ms-ambi-02,477.0,-7.0
lw-ms-ambi-02,468.0,-9.0
lw-ms-ambi-02,472.0,4.0
lw-ms-ambi-02,467.0,-5.0
lw-ms-ambi-02,458.0,-9.0
lw-ms-ambi-02,464.0,6.0
lw-ms-ambi-02,452.0,-12.0
lw-ms-ambi-02,467.0,15.0
lw-ms-ambi-02,454.0,-13.0
lw-ms-ambi-02,463.0,9.0
lw-ms-ambi-02,452.0,-11.0
lw-ms-ambi-02,457.0,5.0
lw-ms-ambi-02,458.0,1.0
lw-ms-ambi-02,450.0,-8.0
lw-ms-ambi-02,468.0,18.0
lw-ms-ambi-02,444.0,-24.0
lw-ms-ambi-02,466.0,22.0
lw-ms-ambi-02,470.0,4.0
lw-ms-ambi-02,468.0,-2.0
lw-ms-ambi-02,469.0,1.0
lw-ms-ambi-02,457.0,-12.0
lw-ms-ambi-02,458.0,1.0
lw-ms-ambi-02,466.0,8.0
lw-ms-ambi-02,464.0,-2.0
lw-ms-ambi-02,458.0,-6.0
lw-ms-ambi-02,462.0,4.0
lw-ms-ambi-02,459.0,-3.0
lw-ms-ambi-02,449.0,-10.0
lw-ms-ambi-02,467.0,18.0
lw-ms-ambi-02,462.0,-5.0
lw-ms-ambi-02,459.0,-3.0
lw-ms-ambi-02,459.0,0.0
lw-ms-ambi-02,450.0,-9.0
lw-ms-ambi-02,435.0,-15.0
lw-ms-ambi-02,486.0,51.0
lw-ms-ambi-02,498.0,12.0
lw-ms-ambi-02,519.0,21.0
lw-ms-ambi-02,546.0,27.0
lw-ms-ambi-02,565.0,19.0
lw-ms-ambi-02,550.0,-15.0
lw-ms-ambi-02,568.0,18.0
lw-ms-ambi-02,587.0,19.0
lw-ms-ambi-02,574.0,-13.0
lw-ms-ambi-02,591.0,17.0
lw-ms-ambi-02,570.0,-21.0
lw-ms-ambi-02,559.0,-11.0
lw-ms-ambi-02,566.0,7.0
lw-ms-ambi-02,559.0,-7.0
lw-ms-ambi-02,557.0,-2.0
lw-ms-ambi-02,553.0,-4.0
lw-ms-ambi-02,547.0,-6.0
lw-ms-ambi-02,547.0,0.0
lw-ms-ambi-02,536.0,-11.0
lw-ms-ambi-02,543.0,7.0
lw-ms-ambi-02,528.0,-15.0
lw-ms-ambi-02,534.0,6.0
lw-ms-ambi-02,528.0,-6.0
lw-ms-ambi-02,505.0,-23.0
lw-ms-ambi-02,519.0,14.0
lw-ms-ambi-02,511.0,-8.0
lw-ms-ambi-02,522.0,11.0
lw-ms-ambi-02,510.0,-12.0
lw-ms-ambi-02,511.0,1.0
lw-ms-ambi-02,500.0,-11.0
lw-ms-ambi-02,491.0,-9.0
lw-ms-ambi-02,486.0,-5.0
lw-ms-ambi-02,489.0,3.0
lw-ms-ambi-02,497.0,8.0
lw-ms-ambi-02,488.0,-9.0
lw-ms-ambi-02,486.0,-2.0
lw-ms-ambi-02,480.0,-6.0
lw-ms-ambi-02,475.0,-5.0
lw-ms-ambi-02,474.0,-1.0
lw-ms-ambi-02,470.0,-4.0
lw-ms-ambi-02,488.0,18.0
lw-ms-ambi-02,468.0,-20.0
lw-ms-ambi-02,480.0,12.0
lw-ms-ambi-02,468.0,-12.0
lw-ms-ambi-02,460.0,-8.0
lw-ms-ambi-02,466.0,6.0
lw-ms-ambi-02,470.0,4.0
lw-ms-ambi-02,449.0,-21.0
lw-ms-ambi-02,458.0,9.0
lw-ms-ambi-02,460.0,2.0
lw-ms-ambi-02,463.0,3.0
lw-ms-ambi-02,455.0,-8.0
lw-ms-ambi-02,453.0,-2.0
